Câu văn thực tế,Nhãn thực tế,Nhãn dự đoán
vẫn chọn tech là ngân hàng đồng hành,Enjoyment,Other
"thằng lái tàu quá đáng , bẻ lái qua tý có sao đâu :))",Disgust,Other
per 2 đại cao thủ đấu đầu :)),Other,Enjoyment
phí gì cũng cao nhất so với ngân hàg khác mà phục vụ lại tệ nhất ! sau đợt này vcb mất nhiều khác hàg !,Disgust,Sadness
thế này mà gặp per thì phải chạy phọt dắm ra quần per nhỉ,Enjoyment,Fear
đạp xe xíu rã chân ông này đạp như tay đua xe,Enjoyment,Other
ăn gì khôn thế,Surprise,Disgust
như đùa ở vn mà như trên sao hoả vậy,Disgust,Surprise
phạt thế quá nhẹ ...,Anger,Disgust
bớt rung động đời bớt suy nghĩ,Other,Disgust
ad hỏi thế này thì có khác gì giữa thịt lợn và thịt chó ăn món nào ? ad hỏi thế này là hơi coi thường chị em đó 🤨,Anger,Disgust
chẳng là cái gì cả,Disgust,Other
per kinh nghiệm nha,Enjoyment,Surprise
loài người thật đáng sợ,Disgust,Fear
"tao tưởng con ê ́ ch . -.- nhìn lại thấy con quỷ này , hết đáng yêu rồi",Disgust,Enjoyment
per chịu khó đọc trong này cũng được phết,Other,Enjoyment
"nó mừng kiểu nhảy vồ lên dơ đồ thôi , chứ dòng này gặp ai cũng mừng",Other,Enjoyment
đm xem mãi quay lưng đi chửa được bước lại dừng :)),Disgust,Fear
bộ phim hấp dẫn quá,Surprise,Enjoyment
em thấy nó đúng đấy chứ,Enjoyment,Other
thế đéo nào nó lại kẻ dưới đấy nhỉ,Disgust,Other
nói không phải khoe chứ em đi xe bò đi học,Enjoyment,Other
ngoài ra thì nó còn bị mang tiếng là thả thính cả xã hội nữa,Other,Disgust
nuôi kiểu đéo gì lại để nó như thế này ??? thằg chủ có tâm hồn thối rữa à ??,Anger,Disgust
đội cái mũ vào chết đéo ai . không có mũ xong đập đầu xuống đất chết không chết cho lại sống cuộc đời nửa ngáo,Disgust,Anger
sau khi đọc bài của mày tao cười nhiều quá và gãy mẹ hàm cái à,Enjoyment,Fear
per một lần thôi không có lần thứ hai đâu 😊,Enjoyment,Other
per lý do nhà tao dùng năng lượng mặt trời .. 😌,Other,Enjoyment
làm đéo gì có ai nói chuyện thân thiết với tao đâu mà,Sadness,Disgust
"mấy thằng dẫn gấu đi thì tránh xa đám đông ra nhé , đừng chen đẩy kiểu bố láo , thằng đẩy tao đã bị xơi cùi trỏ rồi đấy ,",Other,Anger
per mang võng ra không lại tủi không thể ngồi,Other,Sadness
"cấm dừng đỗ thì bạn gọi công an phường , post lên đây làm gì",Disgust,Anger
đến câu nào có đáp số quen thì khoanh :)),Enjoyment,Other
giờ mới biết,Other,Enjoyment
sao nhiều thằng cưa bàn giống tao vậy ??,Surprise,Other
giữa dòng đời này chắc mỗi mình mình xin list nhạc :3,Other,Sadness
chỉ có màn hình là xấu thui,Other,Sadness
lập đội cảnh sat chuyên đi dẹp những nơi tụ tập như thế,Other,Anger
gớm . vi khuẩn vi rút vi trùng vi lung tung beng nấp hết trong đó nhìn nổi da gà .,Disgust,Anger
vậy mới biến thành người nhện được,Other,Surprise
nghe tên vietcombank là bao nhiêu quá khứ bực mình ùa về,Anger,Sadness
bó tay . lại khiển trách . rút kinh nghiệm,Anger,Disgust
quan trọng là họ quảng cáo nói có đúng không . hay là được ít năm hỏng thì mệt,Other,Disgust
"tao cũng vậy , mấy cái thiệp chúc noel thời cấp 2 trẻ trâu của lũ bạn vẫn còn nguyên xi",Other,Disgust
"hai thằng đó sẽ .. nhau , cô về nhà nằm mơ típ đi cô bé",Disgust,Other
tôi đập cho toè cái mỏ lun nha,Anger,Other
có thì tốt nhất đừng có giận vì ngoài kia bất cứ thằng nào cũng sẵn sàng dỗ dành bạn gái của bạn 😋,Fear,Enjoyment
mày cứ đái ra võng là lần sau vợ mày sẽ rút kinh nghiệm,Disgust,Anger
nghe tiếng ăn tợp tợp ám ảnh quá,Disgust,Fear
sao lại bất công thế,Sadness,Surprise
tao thề . nhìn bạn ấy xong tao muốn rụng mấy quả trứng luôn 😓,Fear,Enjoyment
"crush một ai đó là điều không bao giờ có rồi , vì mình vừa béo , vừa xấu gái , vừa vv and vv . auto nhục 😞😞😞",Sadness,Disgust
"thôi xong , biết thế tém tém lại .",Fear,Other
"hành nó đưa đèn ông sao lên nữa chứ , ác vãi , ta nhớ lại còn cay ?",Anger,Disgust
"thì bác cứ tranh luận đi , bác nói đúng thì mình cũng chả nói gì , còn mình thấy cái kiểu cậy nhà mặt đường nhưng tư tưởng nhắn tin kia thì kiểu gì cũng có ngày sấp mặt .",Anger,Disgust
không biết có ai ở trong ngôi nhà không,Fear,Other
có hôm tao đang vương nỏ tính bắn vào con họa mi đang đậu trên cành thì ai ngờ nó phản đame đứt thun dội ngược vào mặt từ đó tao không còn chơi nữa,Sadness,Fear
"giỏi quá ta , cố gắng phát huy nha",Surprise,Enjoyment
bọn rải đinh nó đéo biết xe đi nhanh mà bị xì lốp thì như thế nào ??? 😣😣😣 não lol,Disgust,Anger
"cũng tùy , đôi khi không cần vật chất mà chỉ cần động viên , san sẽ những khi con mình vấp ngã hay khó khăn trong cuộc sống thì ...",Sadness,Other
crush đéo bị thịt nhé :d nó cũng ế vãi vì tội chảnh chóa,Anger,Sadness
per hèn gì thấy ngày nào anh cũng đi tập 😂😂😂,Other,Enjoyment
quả cr7 mà kill đéo gì nhỉ,Disgust,Other
"chửi vậy cũng bình thường mà mọi người cứ làm quá . mẹ tao cũng suốt ngày chửi tao , tao thấy vui mà .",Enjoyment,Disgust
phải biết thiên thời địa lợi nhân hòa 😐😐,Other,Enjoyment
loài vật đang dần dần có trí khôn và hành động như một con người còn một số người thì đang tiến hóa ngược :v,Disgust,Other
"không nghe lời cha mẹ , không ăn học , giờ đi hốt rác . không có giá trị trong xã hội , bày đặt chữi ai .",Disgust,Anger
"kệ mẹ tao , tao thích nuôi chó thôi okeeee nó đéo bao giờ kêu tao bướng",Anger,Enjoyment
thính hơn chó động 1 tí là kêu inh ỏi điếc cả tai . đuổi thì đuổi dai 😒,Anger,Disgust
xin chúa thương xót chúng con,Other,Sadness
đọc thôi cũng mệt,Disgust,Sadness
nó chỉ muốn chén mày thôi . thật đấy,Other,Enjoyment
tiên sư bố nhà mày . tao chịu hết nổi rồi nhé 🤤,Anger,Fear
"đọc bình luận không thấy ai khen cute dễ thương đáng yêu này nọ nữa nhỉ :))))) một ngày đẹp trời bạn ra ngõ đứng hít không khí , con mèo sẽ kệ mẹ bạn , con chó vẫn sẽ đi đái bậy , nhưng con một lằn này thì đéo , nó phi con mẹ nó ra dí chạy như một con điên",Anger,Fear
một đứa sợ sấm chớp không thích hình ảnh này huhu,Fear,Sadness
chơi vậy ai chơi,Disgust,Other
ngày bé nấu hoài không chín . tức rủ mấy đứa ra đốt cả đống rơm nhà hàng xóm,Enjoyment,Sadness
mơ chứ còn gì nữa 🙃,Other,Disgust
"per lại nữa , tao dg suy nghĩ có nên đi bằng rap về không",Sadness,Other
per hình như bài mày ngh hôm nay . như cứt mai đừng mở nữa,Disgust,Other
cũng đỡ tắc hơn 1 tí,Enjoyment,Other
hãy tôn trọng quyền được mưu cầu hạnh phúc của mỗi cá nhân con người trên thế giới này đi . đừng kì thị họ ! tội lỗi lắm 🙂,Other,Sadness
con nhà người ta kbh làm bố mẹ mình thất vọng 😪,Other,Enjoyment
đau ruột với thằng số 9 🤣🤣🤣,Enjoyment,Sadness
không biết người của họ hay sao mà bắt heo 2 ngày trúng 2 cái ipx,Other,Surprise
cũng thơm mà . kì thị quá à .,Enjoyment,Disgust
