Câu văn thực tế,Nhãn thực tế,Nhãn dự đoán
giống ml em tao hồi n nhỏ_vãi . muốn ngủ với mẹ nhưng bị tao nịnh_nọt bắt lên ngủ với tao :)),Enjoyment,Disgust
của thằng kia mà,Other,Enjoyment
tao tháy gái nguy_hiểm vãi,Fear,Enjoyment
"thằng lái tàu quá_đáng , bẻ lái qua tý có sao đâu :))",Disgust,Enjoyment
người ta đá hay bảo ăn đòn thằng admin ngu lol,Disgust,Enjoyment
per huhuu không biết lúc đấy thực_tập chưa : ( ( (,Sadness,Enjoyment
per 2 đại cao_thủ đấu đầu :)),Other,Enjoyment
ngày_xưa nghèo . có bếp dầu là mai rồi .,Other,Enjoyment
ăn gì khôn_thế,Surprise,Enjoyment
đã từng xem em là tất_cả . mỗi khi mỏi_mệt về thấy em và con cười là anh hạnh_phúc rồi,Enjoyment,Sadness
như đùa ở vn mà như trên sao hỏa vậy,Disgust,Enjoyment
cái mặt thấy ghét,Disgust,Enjoyment
phạt thế quá nhẹ ...,Anger,Enjoyment
bớt rung_động đời bớt suy_nghĩ,Other,Enjoyment
ad hỏi thế_này thì có khác gì giữa thịt lợn và thịt chó ăn món nào ?_ad hỏi thế_này là hơi coi_thường chị_em đó 🤨,Anger,Disgust
chẳng_là cái gì cả,Disgust,Enjoyment
từ lúc đấy tao không ăn được các loại thịt ngan - ngỗng - vịt lun 😞 ám_ảnh vãi,Fear,Enjoyment
nhìn mặt đã thấy đóng vai ác rồi,Disgust,Enjoyment
ukm . nguy_hiểm thật : ' <,Fear,Enjoyment
"hồi xưa , giờ yêu kiểu người_lớn cơ mà",Other,Disgust
đó là mày chưa nhận ra việc mày yêu tiền như_thế_nào và muốn kiếm tiền nhiều bao_nhiêu ?,Other,Enjoyment
đúng chất_dân miền tây hahaha,Enjoyment,Other
loài_người thật đáng sợ,Disgust,Enjoyment
"tao tưởng con ê_́ ch . - . - nhìn lại thấy con quỷ này , hết đáng yêu rồi",Disgust,Enjoyment
per chịu_khó đọc trong này cũng được phết,Other,Enjoyment
"nó mừng kiểu nhảy_vồ lên dơ_đồ thôi , chứ dòng này gặp ai cũng mừng",Other,Disgust
đm xem mãi quay lưng đi chửa được bước lại dừng :)),Disgust,Enjoyment
bộ phim hấp_dẫn quá,Surprise,Enjoyment
cái gì cũng có 2 mặt của nó . làm_việc phải nghe bằng 2 tai,Other,Enjoyment
"đang coi thấy nghi_nghi , tắt vô xem bình_luận , đoán ngay là sẽ giật_mình , nên thôi không xem nữa haha , dễ gì bị dụ haha",Enjoyment,Disgust
nước_biển sao đục quá nhỉ,Other,Enjoyment
thế đéo nào nó lại kẻ dưới đấy nhỉ,Disgust,Enjoyment
