Câu văn thực tế,Nhãn thực tế,Nhãn dự đoán
giống ml em tao hồi n nhỏ vãi . muốn ngủ với mẹ nhưng bị tao nịnh_nọt bắt lên ngủ với tao : ) ),Enjoyment,Sadness
của thằng kia_mà,Other,Disgust
tao tháy gái nguy_hiểm_vãi,Fear,Disgust
per hôn nhẹ lên má nha_🤣,Enjoyment,Disgust
"thằng lái tàu quá_đáng , bẻ lái qua tý có sao đâu : ) )",Disgust,Enjoyment
per 2 đại_cao_thủ đấu đầu : ) ),Other,Enjoyment
ngày_xưa nghèo . có bếp dầu là mai rồi .,Other,Sadness
thế này mà gặp per thì phải chạy phọt dắm ra quần per nhỉ,Enjoyment,Disgust
đạp xe xíu rã chân ông này đạp như tay_đua xe,Enjoyment,Disgust
ăn gì khôn_thế,Surprise,Sadness
đã từng xem em là tất_cả . mỗi khi mỏi_mệt về thấy em và con cười là anh hạnh_phúc rồi,Enjoyment,Sadness
như đùa ở vn mà như trên sao hoả_vậy,Disgust,Other
cái mặt thấy ghét,Disgust,Enjoyment
phạt thế quá nhẹ ...,Anger,Other
bớt rung_động đời bớt suy_nghĩ,Other,Enjoyment
phải đối_xử tốt với chính bản_thân mình : ),Enjoyment,Sadness
ad hỏi thế này thì có khác gì giữa thịt lợn và thịt chó ăn món nào ? ad hỏi thế này là hơi coi_thường chị_em đó 🤨,Anger,Disgust
chẳng_là cái gì cả,Disgust,Other
từ lúc đấy tao không ăn được các loại thịt ngan - ngỗng - vịt lun 😞 ám_ảnh vãi,Fear,Enjoyment
nhìn mặt đã thấy đóng vai ác rồi,Disgust,Other
"per đi coi với tao , phim này hay nhất_định phải coi",Enjoyment,Other
ukm . nguy_hiểm thật : ' <,Fear,Enjoyment
"hồi xưa , giờ yêu kiểu người_lớn cơ_mà",Other,Enjoyment
đó là mày chưa nhận ra việc mày yêu tiền như thế_nào và muốn kiếm tiền nhiều bao_nhiêu ?,Other,Sadness
đúng chất dân miền tây hahaha,Enjoyment,Other
loài_người thật đáng sợ,Disgust,Enjoyment
"tao tưởng con ê ́ ch . - . - nhìn lại thấy con quỷ này , hết đáng yêu rồi",Disgust,Sadness
per chịu_khó đọc trong này cũng được phết,Other,Enjoyment
"nó mừng kiểu nhảy vồ lên dơ đồ thôi , chứ dòng này gặp ai cũng mừng",Other,Disgust
đm xem mãi quay lưng đi chửa được bước lại dừng : ) ),Disgust,Enjoyment
bộ phim hấp_dẫn quá,Surprise,Enjoyment
cái gì cũng có 2 mặt của nó . làm_việc phải nghe bằng 2 tai,Other,Sadness
em thấy nó đúng đấy chứ,Enjoyment,Other
"đang coi thấy nghi nghi , tắt vô xem bình_luận , đoán ngay là sẽ giật_mình , nên thôi không xem nữa haha , dễ gì bị dụ haha",Enjoyment,Disgust
nước biển sao đục quá nhỉ,Other,Enjoyment
a độc_thân nè không có ai để nắm tay gọi là thử coi . . hihihi chúc em luon vui ve_em nhé ...,Enjoyment,Disgust
thế đéo nào nó lại kẻ dưới đấy nhỉ,Disgust,Enjoyment
nói không phải khoe chứ em đi xe_bò đi học,Enjoyment,Other
tao còn phải đợi 3 tháng nữa là đủ 1 gia_đình nhỏ rồi,Enjoyment,Sadness
"dân_trí thấp , trẻ trâu , trai làng 🙂",Disgust,Enjoyment
ngoài_ra thì nó còn bị mang_tiếng là thả thính cả xã_hội nữa,Other,Enjoyment
hai ông_bà thật hạnh_phúc,Enjoyment,Other
nuôi kiểu đéo gì lại để nó như thế này ? ? ? thằg chủ có tâm_hồn thối rữa à ? ?,Anger,Disgust
sau khi đọc bài của mày tao cười nhiều quá và gãy mẹ hàm cái à,Enjoyment,Other
per một lần thôi không có lần thứ hai đâu 😊,Enjoyment,Sadness
tha cho cô chú đó đi,Disgust,Other
em chân_thành nên em tổn_thương !,Sadness,Other
tốt nhất là phải sử phạt thật nặng thì các trường_hợp như_vậy mới không tiếp_tục xảy ra,Other,Sadness
"trách_nhiệm của con_mẹ giáo_viên chủ_nhiệm là lớn nhất luôn , đuổi con_mẹ nó việc đi",Anger,Sadness
làm đéo gì có ai nói_chuyện thân_thiết với tao đâu mà,Sadness,Other
bạn khốn_nạn,Anger,Enjoyment
tin_vui cho bà_con nông_dân chuân bi vào ngày gặt lúa sắp tới,Enjoyment,Sadness
tao giận bạn trai tao và 5 ngày rồi nó đéo dỗ tao luôn hix,Sadness,Disgust
dễ_thương vậy,Enjoyment,Other
"mấy thằng dẫn gấu đi thì tránh xa đám đông ra nhé , đừng chen đẩy kiểu bố_láo , thằng đẩy tao đã bị xơi cùi trỏ rồi đấy ,",Other,Disgust
"cấm dừng đỗ thì bạn gọi công_an phường , post lên đây làm gì",Disgust,Other
làm_việc vất_vả mới được miếng ăn mà chúng_nó khốn_nạn thật,Anger,Sadness
cạn_lời với bọn súc_vật này làm xấu mặt người bắc giang 😑 😑 😑,Disgust,Enjoyment
sao nhiều thằng cưa bàn giống tao_vậy ? ?,Surprise,Other
"per bắt được chắc nó mềm xương , chơi mất_dạy 😔 😔",Anger,Enjoyment
bọn bây giống tao không ? chứ ghét mấy đứa troll rớt điện_thoại_vãi,Disgust,Sadness
có bồ mà cũng sân si,Disgust,Other
giữa dòng đời này chắc mỗi mình mình xin list nhạc : 3,Other,Disgust
kaka cái mặt bà kìa,Enjoyment,Other
lập đội cảnh sat chuyên đi dẹp những nơi tụ_tập như_thế,Other,Enjoyment
dù ra sao vẫn giữ nụ cười và sự tự_tin,Enjoyment,Sadness
gớm . vi_khuẩn vi rút vi_trùng vi lung_tung_beng nấp hết trong đó nhìn nổi da_gà .,Disgust,Enjoyment
vậy mới biến thành người nhện được,Other,Enjoyment
nghe tên vietcombank là bao_nhiêu quá_khứ bực_mình ùa về,Anger,Sadness
bó_tay . lại khiển_trách . rút kinh_nghiệm,Anger,Sadness
