Câu văn thực tế,Nhãn thực tế,Nhãn dự đoán
giống ml em tao hồi n nhỏ_vãi . muốn ngủ với mẹ nhưng bị tao nịnh_nọt bắt lên ngủ với tao :)),Enjoyment,Disgust
tao tháy gái nguy_hiểm vãi,Fear,Enjoyment
vẫn chọn tech là ngân_hàng đồng_hành,Enjoyment,Other
per 2 đại cao_thủ đấu đầu :)),Other,Enjoyment
phí gì cũng cao nhất so với ngân_hàg khác mà phục_vụ lại tệ nhất ! sau đợt này vcb mất nhiều khác hàg !,Disgust,Other
thế_này mà gặp per thì phải chạy phọt dắm ra quần_per nhỉ,Enjoyment,Other
đạp xe xíu_rã chân ông này đạp như tay đua xe,Enjoyment,Other
ăn gì khôn_thế,Surprise,Disgust
đã từng xem em là tất_cả . mỗi khi mỏi_mệt về thấy em và con cười là anh hạnh_phúc rồi,Enjoyment,Sadness
như đùa ở vn mà như trên sao hỏa vậy,Disgust,Other
phạt thế quá nhẹ ...,Anger,Other
bớt rung_động đời bớt suy_nghĩ,Other,Enjoyment
phải đối_xử tốt với chính bản_thân mình :),Enjoyment,Disgust
ad hỏi thế_này thì có khác gì giữa thịt lợn và thịt chó ăn món nào ?_ad hỏi thế_này là hơi coi_thường chị_em đó 🤨,Anger,Enjoyment
chẳng_là cái gì cả,Disgust,Other
từ lúc đấy tao không ăn được các loại thịt ngan - ngỗng - vịt lun 😞 ám_ảnh vãi,Fear,Disgust
per kinh_nghiệm nha,Enjoyment,Other
ukm . nguy_hiểm thật : ' <,Fear,Disgust
"hồi xưa , giờ yêu kiểu người_lớn cơ mà",Other,Anger
đúng chất_dân miền tây hahaha,Enjoyment,Disgust
"tao tưởng con ê_́ ch . - . - nhìn lại thấy con quỷ này , hết đáng yêu rồi",Disgust,Enjoyment
per chịu_khó đọc trong này cũng được phết,Other,Enjoyment
"nó mừng kiểu nhảy_vồ lên dơ_đồ thôi , chứ dòng này gặp ai cũng mừng",Other,Disgust
đm xem mãi quay lưng đi chửa được bước lại dừng :)),Disgust,Enjoyment
bộ phim hấp_dẫn quá,Surprise,Enjoyment
em thấy nó đúng đấy chứ,Enjoyment,Other
nước_biển sao đục quá nhỉ,Other,Enjoyment
a độc_thân nè không có ai để nắm tay gọi_là thử coi .. hihihi chúc em luon vui ve em nhé ...,Enjoyment,Disgust
nói không phải khoe chứ em đi xe_bò đi học,Enjoyment,Sadness
tao còn phải đợi 3 tháng nữa là đủ 1 gia_đình nhỏ rồi,Enjoyment,Sadness
ngoài_ra thì nó còn bị mang_tiếng là thả thính cả xã_hội nữa,Other,Disgust
hai ông_bà thật hạnh_phúc,Enjoyment,Other
nuôi kiểu đéo gì lại để nó như thế_này ? ? ?_thằg chủ có tâm_hồn thối rữa à ? ?,Anger,Disgust
per một lần thôi không có lần thứ hai đâu 😊,Enjoyment,Other
per lý_do nhà tao dùng năng_lượng mặt_trời .. 😌,Other,Enjoyment
tha cho cô_chú đó đi,Disgust,Other
"trách_nhiệm của con mẹ giáo_viên chủ_nhiệm là lớn nhất luôn , đuổi con mẹ nó việc đi",Anger,Other
làm đéo gì có ai nói_chuyện thân_thiết với tao đâu mà,Sadness,Anger
bạn khốn_nạn,Anger,Disgust
tin_vui cho bà_con nông_dân chuân_bi vào ngày gặt lúa sắp tới,Enjoyment,Disgust
coi phim này không .. dễ_thương lắm ..,Enjoyment,Other
dễ_thương vậy,Enjoyment,Surprise
"mấy thằng dẫn gấu đi thì tránh xa đám đông ra nhé , đừng chen_đẩy kiểu bố_láo , thằng đẩy tao đã bị xơi cùi trỏ rồi đấy ,",Other,Disgust
làm_việc vất_vả mới được miếng ăn mà chúng_nó khốn_nạn thật,Anger,Disgust
sao nhiều thằng cưa bàn giống tao vậy ? ?,Surprise,Other
"per bắt được chắc nó mềm_xương , chơi mất dạy 😔 😔",Anger,Other
có bồ mà cũng sân si,Disgust,Enjoyment
phải có bao_nhiêu tình_cảm mới có_thể viết ra được những dòng này ...,Sadness,Other
lập đội cảnh sat chuyên đi dẹp những nơi tụ_tập như thế,Other,Enjoyment
dù ra sao vẫn giữ nụ cười và sự tự_tin,Enjoyment,Other
nghe tên vietcombank là bao_nhiêu quá_khứ bực_mình ùa về,Anger,Enjoyment
bó_tay . lại khiển_trách . rút kinh_nghiệm,Anger,Other
