Câu văn thực tế,Nhãn thực tế,Nhãn dự đoán
vẫn chọn tech là ngân hàng đồng hành,Enjoyment,Other
per 2 đại cao thủ đấu đầu :)),Other,Enjoyment
phí gì cũng cao nhất so với ngân hàg khác mà phục vụ lại tệ nhất ! sau đợt này vcb mất nhiều khác hàg !,Disgust,Other
thế này mà gặp per thì phải chạy phọt dắm ra quần per nhỉ,Enjoyment,Surprise
đạp xe xíu rã chân ông này đạp như tay đua xe,Enjoyment,Disgust
phạt thế quá nhẹ ...,Anger,Disgust
phải đối xử tốt với chính bản thân mình :),Enjoyment,Other
ad hỏi thế này thì có khác gì giữa thịt lợn và thịt chó ăn món nào ? ad hỏi thế này là hơi coi thường chị em đó 🤨,Anger,Disgust
chẳng là cái gì cả,Disgust,Other
per kinh nghiệm nha,Enjoyment,Other
"hồi xưa , giờ yêu kiểu người lớn cơ mà",Other,Enjoyment
loài người thật đáng sợ,Disgust,Fear
"tao tưởng con ê ́ ch . -.- nhìn lại thấy con quỷ này , hết đáng yêu rồi",Disgust,Enjoyment
per chịu khó đọc trong này cũng được phết,Other,Enjoyment
"nó mừng kiểu nhảy vồ lên dơ đồ thôi , chứ dòng này gặp ai cũng mừng",Other,Enjoyment
đm xem mãi quay lưng đi chửa được bước lại dừng :)),Disgust,Sadness
bộ phim hấp dẫn quá,Surprise,Enjoyment
em thấy nó đúng đấy chứ,Enjoyment,Other
nước biển sao đục quá nhỉ,Other,Surprise
thế đéo nào nó lại kẻ dưới đấy nhỉ,Disgust,Anger
nói không phải khoe chứ em đi xe bò đi học,Enjoyment,Other
tao còn phải đợi 3 tháng nữa là đủ 1 gia đình nhỏ rồi,Enjoyment,Other
ngoài ra thì nó còn bị mang tiếng là thả thính cả xã hội nữa,Other,Disgust
nuôi kiểu đéo gì lại để nó như thế này ??? thằg chủ có tâm hồn thối rữa à ??,Anger,Disgust
thằng ăn ốc đéo phải trả tiền thằng đổ vỏ lại phải trả tiền …,Disgust,Anger
per một lần thôi không có lần thứ hai đâu 😊,Enjoyment,Other
tha cho cô chú đó đi,Disgust,Other
làm đéo gì có ai nói chuyện thân thiết với tao đâu mà,Sadness,Anger
"mấy thằng dẫn gấu đi thì tránh xa đám đông ra nhé , đừng chen đẩy kiểu bố láo , thằng đẩy tao đã bị xơi cùi trỏ rồi đấy ,",Other,Disgust
per mang võng ra không lại tủi không thể ngồi,Other,Sadness
"cấm dừng đỗ thì bạn gọi công an phường , post lên đây làm gì",Disgust,Other
đến câu nào có đáp số quen thì khoanh :)),Enjoyment,Other
làm việc vất vả mới được miếng ăn mà chúng nó khốn nạn thật,Anger,Fear
"per bắt được chắc nó mềm xương , chơi mất dạy 😔😔",Anger,Disgust
chỉ có màn hình là xấu thui,Other,Disgust
vậy mới biến thành người nhện được,Other,Enjoyment
nghe tên vietcombank là bao nhiêu quá khứ bực mình ùa về,Anger,Sadness
bó tay . lại khiển trách . rút kinh nghiệm,Anger,Disgust
