Câu văn thực tế,Nhãn thực tế,Nhãn dự đoán
per 2 đại cao_thủ đấu đầu :)),Other,Enjoyment
ngày_xưa nghèo . có bếp dầu là mai rồi .,Other,Enjoyment
thế_này mà gặp per thì phải chạy phọt dắm ra quần_per nhỉ,Enjoyment,Fear
đạp xe xíu_rã chân ông này đạp như tay đua xe,Enjoyment,Disgust
ăn gì khôn_thế,Surprise,Other
như đùa ở vn mà như trên sao hỏa vậy,Disgust,Surprise
phạt thế quá nhẹ ...,Anger,Disgust
phải đối_xử tốt với chính bản_thân mình :),Enjoyment,Other
ad hỏi thế_này thì có khác gì giữa thịt lợn và thịt chó ăn món nào ?_ad hỏi thế_này là hơi coi_thường chị_em đó 🤨,Anger,Disgust
ừ thì là chuyện cổ_tích . cháu đang đi đường_thẳng gặp mấy chú thì phải rẽ ngang . 😢 😢,Disgust,Sadness
per kinh_nghiệm nha,Enjoyment,Other
"hồi xưa , giờ yêu kiểu người_lớn cơ mà",Other,Enjoyment
loài_người thật đáng sợ,Disgust,Fear
per chịu_khó đọc trong này cũng được phết,Other,Enjoyment
"nó mừng kiểu nhảy_vồ lên dơ_đồ thôi , chứ dòng này gặp ai cũng mừng",Other,Enjoyment
đm xem mãi quay lưng đi chửa được bước lại dừng :)),Disgust,Sadness
bộ phim hấp_dẫn quá,Surprise,Enjoyment
nước_biển sao đục quá nhỉ,Other,Surprise
thế đéo nào nó lại kẻ dưới đấy nhỉ,Disgust,Other
nói không phải khoe chứ em đi xe_bò đi học,Enjoyment,Other
tao còn phải đợi 3 tháng nữa là đủ 1 gia_đình nhỏ rồi,Enjoyment,Sadness
ngoài_ra thì nó còn bị mang_tiếng là thả thính cả xã_hội nữa,Other,Disgust
nuôi kiểu đéo gì lại để nó như thế_này ? ? ?_thằg chủ có tâm_hồn thối rữa à ? ?,Anger,Disgust
đội cái mũ vào chết đéo ai . không có mũ xong đập đầu xuống đất chết không chết cho lại sống cuộc_đời nửa ngáo,Disgust,Anger
per một lần thôi không có lần thứ hai đâu 😊,Enjoyment,Other
per lý_do nhà tao dùng năng_lượng mặt_trời .. 😌,Other,Enjoyment
tha cho cô_chú đó đi,Disgust,Other
làm đéo gì có ai nói_chuyện thân_thiết với tao đâu mà,Sadness,Other
bạn khốn_nạn,Anger,Disgust
"mấy thằng dẫn gấu đi thì tránh xa đám đông ra nhé , đừng chen_đẩy kiểu bố_láo , thằng đẩy tao đã bị xơi cùi trỏ rồi đấy ,",Other,Anger
per mang võng ra không lại tủi không_thể ngồi,Other,Sadness
làm_việc vất_vả mới được miếng ăn mà chúng_nó khốn_nạn thật,Anger,Disgust
bọn bây giống tao không ? chứ ghét mấy đứa troll rớt điện_thoại vãi,Disgust,Anger
kaka cái mặt bà kìa,Enjoyment,Surprise
chỉ có màn_hình là xấu thui,Other,Disgust
dù ra sao vẫn giữ nụ cười và sự tự_tin,Enjoyment,Other
gớm . vi_khuẩn vi_rút vi_trùng_vi lung_tung beng nấp hết trong đó nhìn nổi da_gà .,Disgust,Fear
nghe tên vietcombank là bao_nhiêu quá_khứ bực_mình ùa về,Anger,Sadness
bó_tay . lại khiển_trách . rút kinh_nghiệm,Anger,Disgust
cay đắng ngọt bùi . nhưng cay_đắng thì thường nhiều hơn =)),Other,Sadness
